memoryId,minLoop,requiredMemory,text,addMemory
mirrow_broken,1,,Ein zerbrochener Spiegel. Man kann nichts darin erkennen. ,
coffeecup_sunflower,1,,Ein Thermo becher mit gelben Sonnenblumen drauf.,coffee_hot
ticket_empty,1,,Ein leeres Zugticket. ,
window_rain,1,,Ein Fenster. Es regenet drauï¿½ï¿,
window_moonlight,1,,"Schï¿½ï¿½nes Mondlicht, oder geht dort in der ferne schon die Sonne auf? Leider kann ich das von hier nicht wirklich erke",
koffer_random,1,,"Nur ein Koffer, gehï¿½ï¿½rt vielleicht einen der Passag",
light_off,1,,Natï¿½ï¿½rlich ist die Lampe ï¿½ï¿½ber den grusiligen Typ,
clock_wagon,1,,Es ist 03:00 Uhr in der Nacht.,
clock_endwagon,1,,Ist es echt schon 07:02 Uhr? Wie kann das sein?!,
bild_links,1,,"..Halte ausschau nach Ufos, als ob.",
rechts_bild,1,,"..Mmh, lecker Cupkaes.",
window_ufo,1,,"Warte.. Das kann doch nur eine Sternschnuppe sein, oder?",
door_closed,1,,Eine Tï¿½ï¿½r. Sie ist verschlo,
loop_intro,2,,Was ist passiert? Hatte der Zug einen Unfall?,first_train_crash
loop_two,3,,Ich bin schon wieder hier gelandet. Wie seltsam.,spilled_coffee
coffeecup_spilled,3,,Der Thermobecher ist umgekippt. Der Inhalt riecht nach einer Mischung aus Kaffee und Amaretto. ,boozed_coffee
ticket_name,4,spilled_coffee,Auf dem Ticket steht: Thomasen Schmidt.,ticket_name
window_face,6,,Was war das fï¿½ï¿½r ein Gesicht? Wo kam es,window_face_reveal
window_coffeecup,8,,Ist der Thermobecher gerade aus dem Fenster geflogen?,window_broken
loop_last,9,,Jetzt verstehe ich. Thomasen starb in einem Zugunglï¿½ï¿½ck. Weil er nach dem Thermobecher gr,
mirrow_fixed,10,fixed_mirrow,Der Spiegel ist wieder heile. Wie ist das mï¿½ï¿½g,all_memorys_collected
mirrow_face,10,all_memorys_collected,"Das Gesicht des Fremnden im Spiegel. Warte nein es ist mein Gesicht. Ich bin Thomasen Schmidt. Ich starb, weil ich nach dem Thermobecher griff. Ich bin tod.. Ich war es die ganze Zeit schon.",i_am_thomasen
door_open,10,i_am_thomasen,Jetzt bin bereit. Endlich kann ich loslassen. ,
