memoryId,minLoop,requiredMemory,text,addMemory
mirrow_broken,1,,A broken mirror. Nothing can be seen in it.,
coffeecup_sunflower,1,,An thermos cup with yellow sunflowers on it.,coffee_hot
ticket_empty,1,,An empty train ticket.,
window_rain,1,,A window. It's raining outside.,
window2_rain,1,,It's still raining outside.,
window3_moonlight,1,,"Beautiful moonlight, or is that already the sun rising in the distance? Hard to tell from here.",
window4_moonlight,1,,"Beautiful moonlight, or is that already the sun rising in the distance? Hard to tell from here.",
koffer_random,1,,"Just a suitcase, maybe it belongs to one of the passengers.",
koffer2_random,1,,"Just a suitcase, maybe it belongs to one of the passengers.",
light_off,1,,"Of course, the lamp above that creepy guy is broken.",
clock_wagon,1,,It's 3:00 AM in the night.,
clock_endwagon,1,,Is it really already 7:02 AM? How is that possible?!,
bild_links,1,,"..Watch out for UFOs, as if.",
rechts_bild,1,,"..Mmh, delicious cupcakes.",
ufo_window,1,,Wait.. could that really just be a shooting star?,
door_closed,1,,A door. It is locked.,
loop_intro,2,,What happened? Did the train have an accident?,first_train_crash
loop_two,3,,I ended up here again. How strange.,spilled_coffee
coffeecup_spilled,3,,The thermos cup has tipped over. Its contents smell like a mixture of coffee and amaretto.,boozed_coffee
ticket_name,4,spilled_coffee,The ticket says: Thomasen Schmidt.,ticket_name
window_face,6,,What was that face? Where did it come from?,
window9_face,6,,What was that face? Where did it come from?,window_face_reveal
window_coffeecup,8,,Did the thermos cup just fly out the window?,window_broken
window2_coffeecup,8,,Did the thermos cup just fly out the window?,window_broken
loop_last,10,,Now I understand. Thomasen died in a train accident. Because he reached for the thermos cup.,fixed_mirrow
mirrow2_fixed,11,fixed_mirrow,The mirror is whole again. How is that possible?,all_memorys_collected
mirrow3_face,11,all_memorys_collected,"The strangers face in the mirror. Wait, no, it's my face. I am Thomasen Schmidt. I died because I reached for the thermos cup. I was dead. I was it the whole time. I just couldn't remember. Or maybe I didn't want to anymore.",i_am_thomasen
door2_open,11,i_am_thomasen,Now I am ready. I can let go now.,
